pause,Site,plot,Rep,depth.in,soilmass,cup_label,sample.id,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,NOTES
1,RTNC22,101,1,12,10.0139,19a,RTNC22-1.101,2,10:07,10:09,2393,10:08,20231229,26,28,
2,RTNC22,101,1,12,9.9997,19b,RTNC22-1.101,2,10:09,10:11,2047.5,10:10,20231229,26,28,
3,RTNC22,101,1,12,10.0157,19c,RTNC22-1.101,2,10:11,10:13,2556,10:12,20231229,26,28,
4,RTNC22,211,1,12,9.9952,20a,RTNC22-1.211,2,10:13,10:15,2189,10:14,20231229,26,28,
5,RTNC22,211,1,12,9.9604,20b,RTNC22-1.211,2,10:15,10:17,2014.5,10:16,20231229,26,28,
6,RTNC22,211,1,12,10.0088,20c,RTNC22-1.211,2,10:17,10:19,1958,10:18,20231229,26,28,
7,RTNC22,304,1,12,10.009,21a,RTNC22-1.304,2,10:19,10:21,2430,10:20,20231229,26,28,
8,RTNC22,304,1,12,9.9872,21b,RTNC22-1.304,2,10:21,10:23,2312,10:22,20231229,26,28,
9,RTNC22,304,1,12,10.028,21c,RTNC22-1.304,2,10:23,10:25,2240.5,10:24,20231229,26,28,pause got messed up
10,RTNC22,412,1,12,9.9764,22a,RTNC22-1.412,2,10:25,10:27,2020,10:26,20231229,26,28,
11,RTNC22,412,1,12,9.9666,22b,RTNC22-1.412,2,10:27,10:29,1834,10:28,20231229,26,28,
12,RTNC22,412,1,12,9.9768,22c,RTNC22-1.412,2,10:29,10:31,2062.5,10:30,20231229,26,28,
13,blank,blank,blank,blank,blank,blank,blank,blank,10:31,10:33,486.5,10:32,20231229,26,28,
14,blank,blank,blank,blank,blank,blank,blank,blank,10:33,10:35,514,10:34,20231229,26,28,
15,RTNC22,101,2,12,10.0042,23a,RTNC22-2.101,1.886792453,10:35,10:37,1974,10:36,20231229,26,28,
16,RTNC22,101,2,12,9.9739,23b,RTNC22-2.101,1.886792453,10:37,10:39,2001.5,10:38,20231229,26,28,
17,RTNC22,101,2,12,9.9783,23c,RTNC22-2.101,1.886792453,10:39,10:41,2211,10:40,20231229,26,28,
18,RTNC22,211,2,12,10.0349,24a,RTNC22-2.211,1.886792453,10:41,10:43,2658,10:42,20231229,26,28,
19,RTNC22,211,2,12,9.998,24b,RTNC22-2.211,1.886792453,10:43,10:45,2809,10:44,20231229,26,28,
20,RTNC22,211,2,12,9.9867,24c,RTNC22-2.211,1.886792453,10:45,10:47,2838,10:46,20231229,26,28,
21,RTNC22,304,2,12,9.9893,25a,RTNC22-2.304,1.886792453,10:47,10:49,2274.5,10:48,20231229,26,28,
22,RTNC22,304,2,12,9.9751,25b,RTNC22-2.304,1.886792453,10:49,10:51,2318,10:50,20231229,26,28,
23,RTNC22,304,2,12,9.9985,25c,RTNC22-2.304,1.886792453,10:51,10:53,2057.5,10:52,20231229,26,28,
24,RTNC22,412,2,12,10.0467,26a,RTNC22-2.412,1.886792453,10:53,10:55,1992.5,10:54,20231229,26,28,
25,RTNC22,412,2,12,9.9634,26b,RTNC22-2.412,1.886792453,10:55,10:57,1862.5,10:56,20231229,26,28,
26,RTNC22,412,2,12,9.9631,26c,RTNC22-2.412,1.886792453,10:57,10:59,1645.5,10:58,20231229,26,28,
27,blank,blank,blank,blank,blank,blank,blank,blank,10:59,11:01,496.5,11:00,20231229,26,28,
28,blank,blank,blank,blank,blank,blank,blank,blank,11:01,11:03,617.5,11:02,20231229,26,28,
29,RTNC22,101,3,12,10.0415,27a,RTNC22-3.101,1.981132075,11:03,11:05,1867,11:04,20231229,26,28,
30,RTNC22,101,3,12,9.9897,27b,RTNC22-3.101,1.981132075,11:05,11:07,2160.5,11:06,20231229,26,28,
31,RTNC22,101,3,12,9.9914,27c,RTNC22-3.101,1.981132075,11:07,11:09,2280,11:08,20231229,26,28,
32,RTNC22,211,3,12,9.9876,28a,RTNC22-3.211,1.981132075,11:09,11:11,1476,11:10,20231229,26,28,
33,RTNC22,211,3,12,10.0303,28b,RTNC22-3.211,1.981132075,11:11,11:13,1986.5,11:12,20231229,26,28,
34,RTNC22,211,3,12,9.9689,28c,RTNC22-3.211,1.981132075,11:13,11:15,1965,11:14,20231229,26,28,
35,RTNC22,304,3,12,9.9775,29a,RTNC22-3.304,1.981132075,11:15,11:17,1997.5,11:16,20231229,26,28,
36,RTNC22,304,3,12,9.9899,29b,RTNC22-3.304,1.981132075,11:17,11:19,2215,11:18,20231229,26,28,
37,RTNC22,304,3,12,9.9628,29c,RTNC22-3.304,1.981132075,11:19,11:21,1737,11:20,20231229,26,28,
38,RTNC22,412,3,12,9.984,30a,RTNC22-3.412,1.981132075,11:21,11:23,2682.5,11:22,20231229,26,28,
39,RTNC22,412,3,12,9.9852,30b,RTNC22-3.412,1.981132075,11:23,11:25,2606,11:24,20231229,26,28,
40,RTNC22,412,3,12,10.0429,30c,RTNC22-3.412,1.981132075,11:25,11:27,2193,11:26,20231229,26,28,
41,blank,blank,blank,blank,blank,blank,blank,blank,11:27,11:29,498,11:28,20231229,26,28,
42,blank,blank,blank,blank,blank,blank,blank,blank,11:29,11:31,487.5,11:30,20231229,26,28,
43,RTNC22,101,4,12,9.9696,31a,RTNC22-4.101,2.132075472,11:31,11:33,2780,11:32,20231229,26,28,
44,RTNC22,101,4,12,10.0423,31b,RTNC22-4.101,2.132075472,11:33,11:35,2008.5,11:34,20231229,26,28,
45,RTNC22,101,4,12,10.0144,31c,RTNC22-4.101,2.132075472,11:35,11:37,2899.5,11:36,20231229,26,28,
46,RTNC22,211,4,12,10.0208,32a,RTNC22-4.211,2.132075472,11:37,11:39,2889,11:38,20231229,26,28,
47,RTNC22,211,4,12,9.9905,32b,RTNC22-4.211,2.132075472,11:39,11:41,2308,11:40,20231229,26,28,
48,RTNC22,211,4,12,9.9937,32c,RTNC22-4.211,2.132075472,11:41,11:43,2834,11:42,20231229,26,28,
49,RTNC22,304,4,12,9.984,33a,RTNC22-4.304,2.132075472,11:43,11:45,2538,11:44,20231229,26,28,
50,RTNC22,304,4,12,9.9815,33b,RTNC22-4.304,2.132075472,11:45,11:47,2582,11:46,20231229,26,28,
51,RTNC22,304,4,12,10.0011,33c,RTNC22-4.304,2.132075472,11:47,11:49,2395.5,11:48,20231229,26,28,
52,RTNC22,412,4,12,9.9626,34a,RTNC22-4.412,2.132075472,11:49,11:51,2801,11:50,20231229,26,28,
53,RTNC22,412,4,12,9.9514,34b,RTNC22-4.412,2.132075472,11:51,11:53,2615,11:52,20231229,26,28,
54,RTNC22,412,4,12,9.9872,34c,RTNC22-4.412,2.132075472,11:53,11:55,3036.5,11:54,20231229,26,28,
55,blank,blank,blank,blank,blank,blank,blank,blank,11:55,11:57,551,11:56,20231229,26,28,
56,blank,blank,blank,blank,blank,blank,blank,blank,11:57,11:59,528,11:58,20231229,26,28,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,