study,Location,plot,Site,Rep,depth.in,sample.id
RTNC25,GM,105,1,1,6,RTNC25-1.1.6
RTNC25,GM,205,1,2,6,RTNC25-1.2.6
RTNC25,GM,312,1,3,6,RTNC25-1.3.6
RTNC25,GM,409,1,4,6,RTNC25-1.4.6
RTNC25,GM,105,1,1,12,RTNC25-1.1.12
RTNC25,GM,205,1,2,12,RTNC25-1.2.12
RTNC25,GM,312,1,3,12,RTNC25-1.3.12
RTNC25,GM,409,1,4,12,RTNC25-1.4.12
RTNC25,Harmony,105,2,1,6,RTNC25-2.1.6
RTNC25,Harmony,205,2,2,6,RTNC25-2.2.6
RTNC25,Harmony,312,2,3,6,RTNC25-2.3.6
RTNC25,Harmony,409,2,4,6,RTNC25-2.4.6
RTNC25,Harmony,105,2,1,12,RTNC25-2.1.12
RTNC25,Harmony,205,2,2,12,RTNC25-2.2.12
RTNC25,Harmony,312,2,3,12,RTNC25-2.3.12
RTNC25,Harmony,409,2,4,12,RTNC25-2.4.12
RTNC25,Dover,105,3,1,6,RTNC25-3.1.6
RTNC25,Dover,205,3,2,6,RTNC25-3.2.6
RTNC25,Dover,312,3,3,6,RTNC25-3.3.6
RTNC25,Dover,409,3,4,6,RTNC25-3.4.6
RTNC25,Dover,105,3,1,12,RTNC25-3.1.12
RTNC25,Dover,205,3,2,12,RTNC25-3.2.12
RTNC25,Dover,312,3,3,12,RTNC25-3.3.12
RTNC25,Dover,409,3,4,12,RTNC25-3.4.12
RTNC25,Elgin,105,4,1,6,RTNC25-4.1.6
RTNC25,Elgin,205,4,2,6,RTNC25-4.2.6
RTNC25,Elgin,312,4,3,6,RTNC25-4.3.6
RTNC25,Elgin,409,4,4,6,RTNC25-4.4.6
RTNC25,Elgin,105,4,1,12,RTNC25-4.1.12
RTNC25,Elgin,205,4,2,12,RTNC25-4.2.12
RTNC25,Elgin,312,4,3,12,RTNC25-4.3.12
RTNC25,Elgin,409,4,4,12,RTNC25-4.4.12
,,,,,,