plot,depth.in,sample.id,ugC.g.day
105,6,RTNC25-1.1.6,208.6400557
105,6,RTNC25-1.1.6,177.9371273
105,6,RTNC25-1.1.6,228.7145768
205,6,RTNC25-1.2.6,131.5035924
205,6,RTNC25-1.2.6,171.0849244
205,6,RTNC25-1.2.6,130.928192
312,6,RTNC25-1.3.6,193.2182728
312,6,RTNC25-1.3.6,166.7083164
312,6,RTNC25-1.3.6,183.3400792
409,6,RTNC25-1.4.6,167.4152098
409,6,RTNC25-1.4.6,183.2418992
409,6,RTNC25-1.4.6,230.445075
105,12,RTNC25-1.1.12,88.56928752
105,12,RTNC25-1.1.12,88.90561194
105,12,RTNC25-1.1.12,75.44828787
205,12,RTNC25-1.2.12,83.88286093
205,12,RTNC25-1.2.12,77.27190442
205,12,RTNC25-1.2.12,76.35357368
312,12,RTNC25-1.3.12,69.73455866
312,12,RTNC25-1.3.12,82.56456843
409,12,RTNC25-1.4.12,60.50290773
409,12,RTNC25-1.4.12,62.94409805
409,12,RTNC25-1.4.12,72.36395668
blank,blank,blank,NA
blank,blank,blank,NA
blank,blank,blank,NA
105,6,RTNC25-2.1.6,151.6681452
105,6,RTNC25-2.1.6,142.101703
205,6,RTNC25-2.2.6,206.7596861
205,6,RTNC25-2.2.6,209.577164
205,6,RTNC25-2.2.6,183.4114522
312,6,RTNC25-2.3.6,203.7767835
312,6,RTNC25-2.3.6,228.4375174
409,6,RTNC25-2.4.6,205.8659345
409,6,RTNC25-2.4.6,259.4056919
409,6,RTNC25-2.4.6,272.8148708
105,12,RTNC25-2.1.12,125.5471192
105,12,RTNC25-2.1.12,130.0455678
105,12,RTNC25-2.1.12,136.68854
205,12,RTNC25-2.2.12,118.3143617
205,12,RTNC25-2.2.12,107.4183412
205,12,RTNC25-2.2.12,97.63014764
312,12,RTNC25-2.3.12,128.4406707
312,12,RTNC25-2.3.12,135.9002488
312,12,RTNC25-2.3.12,142.3668553
409,12,RTNC25-2.4.12,120.6052898
409,12,RTNC25-2.4.12,144.819215
409,12,RTNC25-2.4.12,102.2411522
blank,blank,blank,NA
blank,blank,blank,NA
blank,blank,blank,NA
105,6,RTNC25-3.1.6,219.0115392
105,6,RTNC25-3.1.6,186.7247001
105,6,RTNC25-3.1.6,231.221646
205,6,RTNC25-3.2.6,235.5416761
205,6,RTNC25-3.2.6,229.2624806
312,6,RTNC25-3.3.6,202.8184528
312,6,RTNC25-3.3.6,266.0558519
312,6,RTNC25-3.3.6,219.5819916
409,6,RTNC25-3.4.6,190.7251881
409,6,RTNC25-3.4.6,261.9012331
409,6,RTNC25-3.4.6,255.9046969
105,12,RTNC25-3.1.12,209.8902504
105,12,RTNC25-3.1.12,200.1842623
105,12,RTNC25-3.1.12,186.7669271
205,12,RTNC25-3.2.12,196.393783
205,12,RTNC25-3.2.12,218.1096156
205,12,RTNC25-3.2.12,181.0808055
312,12,RTNC25-3.3.12,201.8100363
312,12,RTNC25-3.3.12,196.490586
312,12,RTNC25-3.3.12,237.8366816
409,12,RTNC25-3.4.12,187.874215
409,12,RTNC25-3.4.12,184.4514022
409,12,RTNC25-3.4.12,188.0750838
105,6,RTNC25-4.1.6,171.409296
105,6,RTNC25-4.1.6,167.2993308
105,6,RTNC25-4.1.6,183.322296
205,6,RTNC25-4.2.6,165.2915269
205,6,RTNC25-4.2.6,196.8774239
205,6,RTNC25-4.2.6,185.8616905
312,6,RTNC25-4.3.6,190.9803838
312,6,RTNC25-4.3.6,188.437577
312,6,RTNC25-4.3.6,158.6424315
409,6,RTNC25-4.4.6,159.3525791
409,6,RTNC25-4.4.6,142.1247122
409,6,RTNC25-4.4.6,198.5075938
105,12,RTNC25-4.1.12,177.5670861
105,12,RTNC25-4.1.12,135.8960838
105,12,RTNC25-4.1.12,171.129481
205,12,RTNC25-4.2.12,144.8076577
205,12,RTNC25-4.2.12,142.4023194
205,12,RTNC25-4.2.12,155.5420537
312,12,RTNC25-4.3.12,149.5177253
312,12,RTNC25-4.3.12,161.4845109
312,12,RTNC25-4.3.12,147.3997206
409,12,RTNC25-4.4.12,89.46846307
409,12,RTNC25-4.4.12,124.0114712
409,12,RTNC25-4.4.12,110.4728515
blank,blank,blank,NA
blank,blank,blank,NA
blank,blank,blank,NA