pause,study,Location,plot,Site,Rep,depth.in,soil mass,Cup Label,sample.id,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,NOTES
1,RTNC25,GM,105,1,1,6,10.0141,001a,RTNC25-1.1.6,2.151,9:00,9:02,,9:01,12022025,26,26,
2,RTNC25,GM,105,1,1,6,9.9966,001b,RTNC25-1.1.6,2.151,9:02,9:04,4434,9:03,12022025,26,26,
3,RTNC25,GM,105,1,1,6,9.9783,001c,RTNC25-1.1.6,2.151,9:04,9:06,5506,9:05,12022025,26,26,
4,RTNC25,GM,205,1,2,6,10.0253,002a,RTNC25-1.2.6,2.151,9:06,9:08,3808,9:07,12022025,26,26,
5,RTNC25,GM,205,1,2,6,9.9904,002b,RTNC25-1.2.6,2.151,9:08,9:10,4723,9:09,12022025,26,26,
6,RTNC25,GM,205,1,2,6,9.9806,002c,RTNC25-1.2.6,2.151,9:10,9:12,4004,9:11,12022025,26,26,
7,RTNC25,GM,312,1,3,6,9.9928,003a,RTNC25-1.3.6,2.151,9:12,9:14,4723,9:13,12022025,26,26,
8,RTNC25,GM,312,1,3,6,10.0171,003b,RTNC25-1.3.6,2.151,9:14,9:16,4723,9:15,12022025,26,26,
9,RTNC25,GM,312,1,3,6,9.9898,003c,RTNC25-1.3.6,2.151,9:16,9:18,4527,9:17,12022025,26,26,
10,RTNC25,GM,409,1,4,6,10.0021,004a,RTNC25-1.4.6,2.151,9:18,9:20,4200,9:19,12022025,26,26,
11,RTNC25,GM,409,1,4,6,10.0433,004b,RTNC25-1.4.6,2.151,9:20,9:22,4527,9:21,12022025,26,26,
12,RTNC25,GM,409,1,4,6,10.0022,004c,RTNC25-1.4.6,2.151,9:22,9:24,6028,9:23,12022025,26,26,
13,RTNC25,GM,105,1,1,12,9.9674,005a,RTNC25-1.1.12,2.151,9:24,9:26,2503,9:25,12022025,26,26,
14,RTNC25,GM,105,1,1,12,9.9819,005b,RTNC25-1.1.12,2.151,9:26,9:28,2598,9:27,12022025,26,26,
15,RTNC25,GM,105,1,1,12,10.0015,005c,RTNC25-1.1.12,2.151,9:28,9:30,2503,9:29,12022025,26,26,
16,RTNC25,GM,205,1,2,12,10.0009,006a,RTNC25-1.2.12,2.151,9:30,9:32,2437,9:31,12022025,26,26,
17,RTNC25,GM,205,1,2,12,10.0007,006b,RTNC25-1.2.12,2.151,9:32,9:34,2568,9:33,12022025,26,26,
18,RTNC25,GM,205,1,2,12,10.0387,006c,RTNC25-1.2.12,2.151,9:34,9:36,2568,9:35,12022025,26,26,
19,RTNC25,GM,312,1,3,12,10.0159,007a,RTNC25-1.3.12,2.151,9:36,9:38,1850,9:37,12022025,26,26,
20,RTNC25,GM,312,1,3,12,9.9863,007b,RTNC25-1.3.12,2.151,9:38,9:40,2437,9:39,12022025,26,26,
21,RTNC25,GM,312,1,3,12,10.0122,007c,RTNC25-1.3.12,2.151,9:40,9:42,2374,9:41,12022025,26,26,
22,RTNC25,GM,409,1,4,12,9.9874,008a,RTNC25-1.4.12,2.151,9:42,9:44,2176,9:43,12022025,26,26,
23,RTNC25,GM,409,1,4,12,10.013,008b,RTNC25-1.4.12,2.151,9:44,9:46,2241,9:45,12022025,26,26,
24,RTNC25,GM,409,1,4,12,10.0065,008c,RTNC25-1.4.12,2.151,9:46,9:48,2503,9:47,12022025,26,26,
25,blank,blank,blank,blank,blank,blank,,blank,blank,,9:48,9:50,870,9:49,12022025,26,26,
26,blank,blank,blank,blank,blank,blank,,blank,blank,,9:50,9:52,544,9:51,12022025,26,26,
27,blank,blank,blank,blank,blank,blank,,blank,blank,,9:52,9:54,544,9:53,12022025,26,26,
28,RTNC25,Harmony,105,2,1,6,9.9895,009a,RTNC25-2.1.6,2.19,9:54,9:56,3090,9:55,12022025,26,26,
29,RTNC25,Harmony,105,2,1,6,10.0358,009b,RTNC25-2.1.6,2.19,9:56,9:58,3874,9:57,12022025,26,26,
30,RTNC25,Harmony,105,2,1,6,10.0134,009c,RTNC25-2.1.6,2.19,9:58,10:00,3678,9:59,12022025,26,26,
31,RTNC25,Harmony,205,2,2,6,10.0034,010a,RTNC25-2.2.6,2.19,10:00,10:02,5375,10:01,12022025,26,26,
32,RTNC25,Harmony,205,2,2,6,10.0247,010b,RTNC25-2.2.6,2.19,10:02,10:04,5114,10:03,12022025,26,26,
33,RTNC25,Harmony,205,2,2,6,10.0582,010c,RTNC25-2.2.6,2.19,10:04,10:06,4527,10:05,12022025,26,26,
34,RTNC25,Harmony,312,2,3,6,10.0112,011a,RTNC25-2.3.6,2.19,10:06,10:08,3743,10:07,12022025,26,26,
35,RTNC25,Harmony,312,2,3,6,10.0279,011b,RTNC25-2.3.6,2.19,10:08,10:10,4984,10:09,12022025,26,26,
36,RTNC25,Harmony,312,2,3,6,9.9866,011c,RTNC25-2.3.6,2.19,10:10,10:12,5898,10:11,12022025,26,26,
37,RTNC25,Harmony,409,2,4,6,10.0217,012a,RTNC25-2.4.6,2.19,10:12,10:14,4984,10:13,12022025,26,26,
38,RTNC25,Harmony,409,2,4,6,10.0128,012b,RTNC25-2.4.6,2.19,10:14,10:16,6558,10:15,12022025,26,26,
39,RTNC25,Harmony,409,2,4,6,9.9691,012c,RTNC25-2.4.6,2.19,10:16,10:18,6827,10:17,12022025,26,26,
40,RTNC25,Harmony,105,2,1,12,10.0304,013a,RTNC25-2.1.12,2.19,10:18,10:20,3232,10:19,12022025,26,26,
41,RTNC25,Harmony,105,2,1,12,10.0187,013b,RTNC25-2.1.12,2.19,10:20,10:22,3790,10:21,12022025,26,26,extra pause?
42,RTNC25,Harmony,105,2,1,12,9.9852,013c,RTNC25-2.1.12,2.19,10:22,10:24,3951,10:23,12022025,26,26,
43,RTNC25,Harmony,205,2,2,12,9.9835,014a,RTNC25-2.2.12,2.19,10:24,10:26,3392,10:25,12022025,26,26,
44,RTNC25,Harmony,205,2,2,12,9.9873,014b,RTNC25-2.2.12,2.19,10:26,10:28,3232,10:27,12022025,26,26,
45,RTNC25,Harmony,205,2,2,12,9.955,014c,RTNC25-2.2.12,2.19,10:28,10:30,3073,10:29,12022025,26,26,
46,RTNC25,Harmony,312,2,3,12,10.0087,015a,RTNC25-2.3.12,2.19,10:30,10:32,3712,10:31,12022025,26,26,
47,RTNC25,Harmony,312,2,3,12,10.0416,015b,RTNC25-2.3.12,2.19,10:32,10:34,3951,10:33,12022025,26,26,
48,RTNC25,Harmony,312,2,3,12,9.9952,015c,RTNC25-2.3.12,2.19,10:34,10:36,4031,10:35,12022025,26,26,
49,RTNC25,Harmony,409,2,4,12,10.0561,016a,RTNC25-2.4.12,2.19,10:36,10:38,3552,10:37,12022025,26,26,
50,RTNC25,Harmony,409,2,4,12,10.0384,016b,RTNC25-2.4.12,2.19,10:38,10:40,4111,10:39,12022025,26,26,
51,RTNC25,Harmony,409,2,4,12,10.0271,016c,RTNC25-2.4.12,2.19,10:40,10:42,3153,10:41,12022025,26,26,
52,blank,blank,blank,blank,blank,blank,,blank,blank,blank,10:42,10:44,996,10:43,12022025,26,26,
53,blank,blank,blank,blank,blank,blank,,blank,blank,blank,10:44,10:46,836,10:45,12022025,26,26,
54,blank,blank,blank,blank,blank,blank,,blank,blank,blank,10:46,10:48,916,10:47,12022025,26,26,
55,RTNC25,Dover,105,3,1,6,9.9822,017a,RTNC25-3.1.6,2.43,10:48,10:50,5629,10:49,12022025,26,26,
56,RTNC25,Dover,105,3,1,6,10.0274,017b,RTNC25-3.1.6,2.43,10:50,10:52,4990,10:51,12022025,26,26,
57,RTNC25,Dover,105,3,1,6,9.987,017c,RTNC25-3.1.6,2.43,10:52,10:54,6028,10:53,12022025,26,26,
58,RTNC25,Dover,205,3,2,6,10.0155,018a,RTNC25-3.2.6,2.43,10:54,10:56,6028,10:55,12022025,26,26,
59,RTNC25,Dover,205,3,2,6,10.0507,018b,RTNC25-3.2.6,2.43,10:56,10:58,5948,10:57,12022025,26,26,
60,RTNC25,Dover,205,3,2,6,9.9992,018c,RTNC25-3.2.6,2.43,10:58,11:00,3871,10:59,12022025,26,26,
61,RTNC25,Dover,312,3,3,6,10.0225,019a,RTNC25-3.3.6,2.43,11:00,11:02,5309,11:01,12022025,26,26,
62,RTNC25,Dover,312,3,3,6,10.0143,019b,RTNC25-3.3.6,2.43,11:02,11:04,6747,11:03,12022025,26,26,
63,RTNC25,Dover,312,3,3,6,10.0012,019c,RTNC25-3.3.6,2.43,11:04,11:06,5709,11:05,12022025,26,26,
64,RTNC25,Dover,409,3,4,6,9.9897,020a,RTNC25-3.4.6,2.43,11:06,11:08,5070,11:07,12022025,26,26,
65,RTNC25,Dover,409,3,4,6,9.9929,020b,RTNC25-3.4.6,2.43,11:08,11:10,6587,11:09,12022025,26,26,
66,RTNC25,Dover,409,3,4,6,10.0411,020c,RTNC25-3.4.6,2.43,11:10,11:12,6507,11:11,12022025,26,26,
67,RTNC25,Dover,105,3,1,12,10.0093,021a,RTNC25-3.1.12,2.43,11:12,11:14,5469,11:13,12022025,26,26,
68,RTNC25,Dover,105,3,1,12,10.019,021b,RTNC25-3.1.12,2.43,11:14,11:16,5309,11:15,12022025,26,26,
69,RTNC25,Dover,105,3,1,12,10.0364,021c,RTNC25-3.1.12,2.43,11:16,11:18,6028,11:17,12022025,26,26,
70,RTNC25,Dover,205,3,2,12,10.02,022a,RTNC25-3.2.12,2.43,11:18,11:20,5788,11:19,12022025,26,26,"forgot to resume last sample, resumed and paused fast here"
71,RTNC25,Dover,205,3,2,12,10.0292,022b,RTNC25-3.2.12,2.43,11:20,11:22,5709,11:21,12022025,26,26,
72,RTNC25,Dover,205,3,2,12,10.021,022c,RTNC25-3.2.12,2.43,11:22,11:24,4910,11:23,12022025,26,26,"forgot to resume last sample, resumed and paused fast here"
73,RTNC25,Dover,312,3,3,12,9.988,023a,RTNC25-3.3.12,2.43,11:24,11:26,5309,11:25,12022025,26,26,
74,RTNC25,Dover,312,3,3,12,10.0091,023b,RTNC25-3.3.12,2.43,11:26,11:28,5229,11:27,12022025,26,26,
75,RTNC25,Dover,312,3,3,12,10.0038,023c,RTNC25-3.3.12,2.43,11:28,11:30,6108,11:29,12022025,26,26,
76,RTNC25,Dover,409,3,4,12,9.989,024a,RTNC25-3.4.12,2.43,11:30,11:32,5070,11:31,12022025,26,26,
77,RTNC25,Dover,409,3,4,12,9.9838,024b,RTNC25-3.4.12,2.43,11:32,11:34,4990,11:33,12022025,26,26,
78,RTNC25,Dover,409,3,4,12,10.0197,024c,RTNC25-3.4.12,2.43,11:34,11:36,5070,11:35,12022025,26,26,
79,RTNC25,Elgin,105,4,1,6,10.0102,025a,RTNC25-4.1.6,2.43,11:36,11:38,4590,11:37,12022025,26,26,
80,RTNC25,Elgin,105,4,1,6,9.9918,025b,RTNC25-4.1.6,2.43,11:38,11:40,4590,11:39,12022025,26,26,
81,RTNC25,Elgin,105,4,1,6,10.0566,025c,RTNC25-4.1.6,2.43,11:40,11:42,4990,11:41,12022025,26,26,
82,RTNC25,Elgin,205,4,2,6,10.031,026a,RTNC25-4.2.6,2.43,11:42,11:44,4510,11:43,12022025,26,26,
83,RTNC25,Elgin,205,4,2,6,10.0204,026b,RTNC25-4.2.6,2.43,11:44,11:46,5229,11:45,12022025,26,26,
84,RTNC25,Elgin,205,4,2,6,9.9857,026c,RTNC25-4.2.6,2.43,11:46,11:48,4990,11:47,12022025,26,26,
85,RTNC25,Elgin,312,4,3,6,9.9836,027a,RTNC25-4.3.6,2.43,11:48,11:50,5070,11:49,12022025,26,26,
86,RTNC25,Elgin,312,4,3,6,10.0018,027b,RTNC25-4.3.6,2.43,11:50,11:52,5070,11:51,12022025,26,26,
87,RTNC25,Elgin,312,4,3,6,9.9989,027c,RTNC25-4.3.6,2.43,11:52,11:54,4351,11:53,12022025,26,26,
88,RTNC25,Elgin,409,4,4,6,9.9964,028a,RTNC25-4.4.6,2.43,11:54,11:56,4431,11:55,12022025,26,26,
89,RTNC25,Elgin,409,4,4,6,9.9843,028b,RTNC25-4.4.6,2.43,11:56,11:58,4031,11:57,12022025,26,26,
90,RTNC25,Elgin,409,4,4,6,10.011,028c,RTNC25-4.4.6,2.43,11:58,12:00,5229,11:59,12022025,26,26,
91,RTNC25,Elgin,105,4,1,12,9.9895,029a,RTNC25-4.1.12,2.43,12:00,12:02,4830,12:01,12022025,26,26,
92,RTNC25,Elgin,105,4,1,12,10,029b,RTNC25-4.1.12,2.43,12:02,12:04,3871,12:03,12022025,26,26,
93,RTNC25,Elgin,105,4,1,12,10.0014,029c,RTNC25-4.1.12,2.43,12:04,12:06,4670,12:05,12022025,26,26,accidentally paused again after resuming
94,RTNC25,Elgin,205,4,2,12,9.9808,030a,RTNC25-4.2.12,2.43,12:06,12:08,4111,12:07,12022025,26,26,
95,RTNC25,Elgin,205,4,2,12,10.0315,030b,RTNC25-4.2.12,2.43,12:08,12:10,4031,12:09,12022025,26,26,
96,RTNC25,Elgin,205,4,2,12,9.9753,030c,RTNC25-4.2.12,2.43,12:10,12:12,4351,12:11,12022025,26,26,
97,RTNC25,Elgin,312,4,3,12,10.0001,031a,RTNC25-4.3.12,2.43,12:12,12:14,4191,12:13,12022025,26,26,
98,RTNC25,Elgin,312,4,3,12,10.0009,031b,RTNC25-4.3.12,2.43,12:14,12:16,4431,12:15,12022025,26,26,
99,RTNC25,Elgin,312,4,3,12,10.0133,031c,RTNC25-4.3.12,2.43,12:16,12:18,4111,12:17,12022025,26,26,
100,RTNC25,Elgin,409,4,4,12,9.9995,032a,RTNC25-4.4.12,2.43,12:18,12:20,2833,12:19,12022025,26,26,
101,RTNC25,Elgin,409,4,4,12,10.0142,032b,RTNC25-4.4.12,2.43,12:20,12:22,3552,12:21,12022025,26,26,
102,RTNC25,Elgin,409,4,4,12,9.9902,032c,RTNC25-4.4.12,2.43,12:22,12:24,3312,12:23,12022025,26,26,
103,blank,blank,blank,blank,blank,blank,,blank,blank,blank,12:24,12:26,916,12:25,12022025,26,26,
104,blank,blank,blank,blank,blank,blank,,blank,blank,blank,12:26,12:28,916,12:27,12022025,26,26,
105,blank,blank,blank,blank,blank,blank,,blank,blank,blank,12:28,12:30,,12:29,12022025,26,26,